date,category,value,units,notes
30/11/21,Total Deaths,468980,value in absolute number,
29/11/21,Total Positive Cases,34580832,value in absolute number,
29/11/21,Number of Active cases,103859,value in absolute number,
29/11/21,Total Recovered,34008183,value in absolute number,
29/11/21,Total Deaths,468790,value in absolute number,
28/11/21,Total Positive Cases,34572523,value in absolute number,
28/11/21,Number of Active cases,105691,value in absolute number,
28/11/21,Total Recovered,33998278,value in absolute number,
28/11/21,Total Deaths,468554,value in absolute number,
27/11/21,Total Positive Cases,34563749,value in absolute number,
27/11/21,Number of Active cases,107019,value in absolute number,
27/11/21,Total Recovered,33988797,value in absolute number,
27/11/21,Total Deaths,467933,value in absolute number,
26/11/21,Total Positive Cases,34555431,value in absolute number,
26/11/21,Number of Active cases,110133,value in absolute number,
26/11/21,Total Recovered,33977830,value in absolute number,
26/11/21,Total Deaths,467468,value in absolute number,
25/11/21,Total Positive Cases,34544882,value in absolute number,
25/11/21,Number of Active cases,109940,value in absolute number,
25/11/21,Total Recovered,33967962,value in absolute number,
25/11/21,Total Deaths,466980,value in absolute number,
24/11/21,Total Positive Cases,34535763,value in absolute number,
24/11/21,Number of Active cases,111481,value in absolute number,
24/11/21,Total Recovered,33957698,value in absolute number,
24/11/21,Total Deaths,466584,value in absolute number,
23/11/21,Total Positive Cases,34526480,value in absolute number,
23/11/21,Number of Active cases,113584,value in absolute number,
23/11/21,Total Recovered,33946749,value in absolute number,
23/11/21,Total Deaths,466147,value in absolute number,
22/11/21,Total Positive Cases,34518901,value in absolute number,
22/11/21,Number of Active cases,118443,value in absolute number,
22/11/21,Total Recovered,33934547,value in absolute number,
22/11/21,Total Deaths,465911,value in absolute number,
21/11/21,Total Positive Cases,34510413,value in absolute number,
21/11/21,Number of Active cases,122714,value in absolute number,
21/11/21,Total Recovered,33922037,value in absolute number,
21/11/21,Total Deaths,465662,value in absolute number,
20/11/21,Total Positive Cases,34499925,value in absolute number,
20/11/21,Number of Active cases,124868,value in absolute number,
20/11/21,Total Recovered,33909708,value in absolute number,
20/11/21,Total Deaths,465349,value in absolute number,
19/11/21,Total Positive Cases,34489623,value in absolute number,
19/11/21,Number of Active cases,126620,value in absolute number,
19/11/21,Total Recovered,33897921,value in absolute number,
19/11/21,Total Deaths,465082,value in absolute number,
18/11/21,Total Positive Cases,34478517,value in absolute number,
18/11/21,Number of Active cases,128762,value in absolute number,
18/11/21,Total Recovered,33885132,value in absolute number,
18/11/21,Total Deaths,464623,value in absolute number,
17/11/21,Total Positive Cases,34466598,value in absolute number,
17/11/21,Number of Active cases,128555,value in absolute number,
17/11/21,Total Recovered,33873890,value in absolute number,
17/11/21,Total Deaths,464153,value in absolute number,
16/11/21,Total Positive Cases,34456401,value in absolute number,
16/11/21,Number of Active cases,130793,value in absolute number,
16/11/21,Total Recovered,33861756,value in absolute number,
16/11/21,Total Deaths,463852,value in absolute number,
15/11/21,Total Positive Cases,34447536,value in absolute number,
15/11/21,Number of Active cases,134096,value in absolute number,
15/11/21,Total Recovered,33849785,value in absolute number,
15/11/21,Total Deaths,463655,value in absolute number,
14/11/21,Total Positive Cases,34437307,value in absolute number,
14/11/21,Number of Active cases,135918,value in absolute number,
14/11/21,Total Recovered,33837859,value in absolute number,
14/11/21,Total Deaths,463530,value in absolute number,
13/11/21,Total Positive Cases,34426036,value in absolute number,
13/11/21,Number of Active cases,136308,value in absolute number,
13/11/21,Total Recovered,33826483,value in absolute number,
13/11/21,Total Deaths,463245,value in absolute number,
12/11/21,Total Positive Cases,34414186,value in absolute number,
12/11/21,Number of Active cases,137416,value in absolute number,
12/11/21,Total Recovered,33814080,value in absolute number,
12/11/21,Total Deaths,462690,value in absolute number,
11/11/21,Total Positive Cases,34401670,value in absolute number,
11/11/21,Number of Active cases,138556,value in absolute number,
11/11/21,Total Recovered,33800925,value in absolute number,
11/11/21,Total Deaths,462189,value in absolute number,
10/11/21,Total Positive Cases,34388579,value in absolute number,
10/11/21,Number of Active cases,139683,value in absolute number,
10/11/21,Total Recovered,33787047,value in absolute number,
10/11/21,Total Deaths,461849,value in absolute number,
09/11/21,Total Positive Cases,34377113,value in absolute number,
09/11/21,Number of Active cases,140638,value in absolute number,
09/11/21,Total Recovered,33775086,value in absolute number,
09/11/21,Total Deaths,461389,value in absolute number,
08/11/21,Total Positive Cases,34366987,value in absolute number,
08/11/21,Number of Active cases,142826,value in absolute number,
08/11/21,Total Recovered,33763104,value in absolute number,
08/11/21,Total Deaths,461057,value in absolute number,
07/11/21,Total Positive Cases,34355536,value in absolute number,
07/11/21,Number of Active cases,144845,value in absolute number,
07/11/21,Total Recovered,33749900,value in absolute number,
07/11/21,Total Deaths,460791,value in absolute number,
06/11/21,Total Positive Cases,34344683,value in absolute number,
06/11/21,Number of Active cases,146950,value in absolute number,
06/11/21,Total Recovered,33737468,value in absolute number,
06/11/21,Total Deaths,460265,value in absolute number,
05/11/21,Total Positive Cases,34333754,value in absolute number,
05/11/21,Number of Active cases,148922,value in absolute number,
05/11/21,Total Recovered,33724959,value in absolute number,
05/11/21,Total Deaths,459873,value in absolute number,
04/11/21,Total Positive Cases,34321025,value in absolute number,
04/11/21,Number of Active cases,148579,value in absolute number,
04/11/21,Total Recovered,33712794,value in absolute number,
04/11/21,Total Deaths,459652,value in absolute number,
03/11/21,Total Positive Cases,34308140,value in absolute number,
03/11/21,Number of Active cases,151209,value in absolute number,
03/11/21,Total Recovered,33697740,value in absolute number,
03/11/21,Total Deaths,459191,value in absolute number,
02/11/21,Total Positive Cases,34296237,value in absolute number,
02/11/21,Number of Active cases,153776,value in absolute number,
02/11/21,Total Recovered,33683581,value in absolute number,
02/11/21,Total Deaths,458880,value in absolute number,
01/11/21,Total Positive Cases,34285814,value in absolute number,
01/11/21,Number of Active cases,158817,value in absolute number,
01/11/21,Total Recovered,33668560,value in absolute number,
01/11/21,Total Deaths,458437,value in absolute number,
31/10/21,Total Positive Cases,34273300,value in absolute number,
31/10/21,Number of Active cases,159272,value in absolute number,
31/10/21,Total Recovered,33655842,value in absolute number,
31/10/21,Total Deaths,458186,value in absolute number,
30/10/21,Total Positive Cases,34260470,value in absolute number,
30/10/21,Number of Active cases,161555,value in absolute number,
30/10/21,Total Recovered,33641175,value in absolute number,
30/10/21,Total Deaths,457740,value in absolute number,
29/10/21,Total Positive Cases,34246157,value in absolute number,
29/10/21,Number of Active cases,161334,value in absolute number,
29/10/21,Total Recovered,33627632,value in absolute number,
29/10/21,Total Deaths,457191,value in absolute number,
28/10/21,Total Positive Cases,34231809,value in absolute number,
28/10/21,Number of Active cases,160989,value in absolute number,
28/10/21,Total Recovered,33614434,value in absolute number,
28/10/21,Total Deaths,456386,value in absolute number,
27/10/21,Total Positive Cases,34215653,value in absolute number,
27/10/21,Number of Active cases,162661,value in absolute number,
27/10/21,Total Recovered,33597339,value in absolute number,
27/10/21,Total Deaths,455653,value in absolute number,
26/10/21,Total Positive Cases,34202202,value in absolute number,
26/10/21,Number of Active cases,163816,value in absolute number,
26/10/21,Total Recovered,33583318,value in absolute number,
26/10/21,Total Deaths,455068,value in absolute number,
25/10/21,Total Positive Cases,34189774,value in absolute number,
25/10/21,Number of Active cases,167695,value in absolute number,
25/10/21,Total Recovered,33567367,value in absolute number,
25/10/21,Total Deaths,454712,value in absolute number,
24/10/21,Total Positive Cases,34175468,value in absolute number,
24/10/21,Number of Active cases,172594,value in absolute number,
24/10/21,Total Recovered,33548605,value in absolute number,
24/10/21,Total Deaths,454269,value in absolute number,
23/10/21,Total Positive Cases,34159562,value in absolute number,
23/10/21,Number of Active cases,173728,value in absolute number,
23/10/21,Total Recovered,33532126,value in absolute number,
23/10/21,Total Deaths,453708,value in absolute number,
22/10/21,Total Positive Cases,34143236,value in absolute number,
22/10/21,Number of Active cases,175745,value in absolute number,
22/10/21,Total Recovered,33514449,value in absolute number,
22/10/21,Total Deaths,453042,value in absolute number,
21/10/21,Total Positive Cases,34127450,value in absolute number,
21/10/21,Number of Active cases,178831,value in absolute number,
21/10/21,Total Recovered,33495808,value in absolute number,
21/10/21,Total Deaths,452811,value in absolute number,
20/10/21,Total Positive Cases,34108996,value in absolute number,
20/10/21,Number of Active cases,178098,value in absolute number,
20/10/21,Total Recovered,33478247,value in absolute number,
20/10/21,Total Deaths,452651,value in absolute number,
19/10/21,Total Positive Cases,34094373,value in absolute number,
19/10/21,Number of Active cases,183118,value in absolute number,
19/10/21,Total Recovered,33458801,value in absolute number,
19/10/21,Total Deaths,452454,value in absolute number,
18/10/21,Total Positive Cases,34081315,value in absolute number,
18/10/21,Number of Active cases,189694,value in absolute number,
18/10/21,Total Recovered,33439331,value in absolute number,
18/10/21,Total Deaths,452290,value in absolute number,
17/10/21,Total Positive Cases,34067719,value in absolute number,
17/10/21,Number of Active cases,195846,value in absolute number,
17/10/21,Total Recovered,33419749,value in absolute number,
17/10/21,Total Deaths,452124,value in absolute number,
16/10/21,Total Positive Cases,34053573,value in absolute number,
16/10/21,Number of Active cases,201632,value in absolute number,
16/10/21,Total Recovered,33399961,value in absolute number,
16/10/21,Total Deaths,451980,value in absolute number,
15/10/21,Total Positive Cases,34037592,value in absolute number,
15/10/21,Number of Active cases,203678,value in absolute number,
15/10/21,Total Recovered,33382100,value in absolute number,
15/10/21,Total Deaths,451814,value in absolute number,
14/10/21,Total Positive Cases,34020730,value in absolute number,
14/10/21,Number of Active cases,206586,value in absolute number,
14/10/21,Total Recovered,33362709,value in absolute number,
14/10/21,Total Deaths,451435,value in absolute number,
13/10/21,Total Positive Cases,34001743,value in absolute number,
13/10/21,Number of Active cases,207653,value in absolute number,
13/10/21,Total Recovered,33342901,value in absolute number,
13/10/21,Total Deaths,451189,value in absolute number,
12/10/21,Total Positive Cases,33985920,value in absolute number,
12/10/21,Number of Active cases,214900,value in absolute number,
12/10/21,Total Recovered,33320057,value in absolute number,
12/10/21,Total Deaths,450963,value in absolute number,
11/10/21,Total Positive Cases,33971607,value in absolute number,
11/10/21,Number of Active cases,227347,value in absolute number,
11/10/21,Total Recovered,33293478,value in absolute number,
11/10/21,Total Deaths,450782,value in absolute number,
10/10/21,Total Positive Cases,33953475,value in absolute number,
10/10/21,Number of Active cases,230971,value in absolute number,
10/10/21,Total Recovered,33271915,value in absolute number,
10/10/21,Total Deaths,450589,value in absolute number,
09/10/21,Total Positive Cases,33935309,value in absolute number,
09/10/21,Number of Active cases,236643,value in absolute number,
09/10/21,Total Recovered,33248291,value in absolute number,
09/10/21,Total Deaths,450375,value in absolute number,
08/10/21,Total Positive Cases,33915569,value in absolute number,
08/10/21,Number of Active cases,240221,value in absolute number,
08/10/21,Total Recovered,33225221,value in absolute number,
08/10/21,Total Deaths,450127,value in absolute number,
07/10/21,Total Positive Cases,33894312,value in absolute number,
07/10/21,Number of Active cases,244198,value in absolute number,
07/10/21,Total Recovered,33200258,value in absolute number,
07/10/21,Total Deaths,449856,value in absolute number,
06/10/21,Total Positive Cases,33871881,value in absolute number,
06/10/21,Number of Active cases,246687,value in absolute number,
06/10/21,Total Recovered,33175656,value in absolute number,
06/10/21,Total Deaths,449538,value in absolute number,
05/10/21,Total Positive Cases,33853048,value in absolute number,
05/10/21,Number of Active cases,252902,value in absolute number,
05/10/21,Total Recovered,33150886,value in absolute number,
05/10/21,Total Deaths,449260,value in absolute number,
04/10/21,Total Positive Cases,33834702,value in absolute number,
04/10/21,Number of Active cases,264458,value in absolute number,
04/10/21,Total Recovered,33121247,value in absolute number,
04/10/21,Total Deaths,448997,value in absolute number,
03/10/21,Total Positive Cases,33813903,value in absolute number,
03/10/21,Number of Active cases,270557,value in absolute number,
03/10/21,Total Recovered,33094529,value in absolute number,
03/10/21,Total Deaths,448817,value in absolute number,
02/10/21,Total Positive Cases,33791061,value in absolute number,
02/10/21,Number of Active cases,273889,value in absolute number,
02/10/21,Total Recovered,33068599,value in absolute number,
02/10/21,Total Deaths,448573,value in absolute number,
01/10/21,Total Positive Cases,33766707,value in absolute number,
01/10/21,Number of Active cases,275224,value in absolute number,
01/10/21,Total Recovered,33043144,value in absolute number,
01/10/21,Total Deaths,448339,value in absolute number,
30/09/21,Total Positive Cases,33739980,value in absolute number,
30/09/21,Number of Active cases,277020,value in absolute number,
30/09/21,Total Recovered,33014898,value in absolute number,
30/09/21,Total Deaths,448062,value in absolute number,
29/09/21,Total Positive Cases,33716451,value in absolute number,
29/09/21,Number of Active cases,282520,value in absolute number,
29/09/21,Total Recovered,32986180,value in absolute number,
29/09/21,Total Deaths,447751,value in absolute number,
28/09/21,Total Positive Cases,33697581,value in absolute number,
28/09/21,Number of Active cases,292206,value in absolute number,
28/09/21,Total Recovered,32958002,value in absolute number,
28/09/21,Total Deaths,447373,value in absolute number,
27/09/21,Total Positive Cases,33678786,value in absolute number,
27/09/21,Number of Active cases,299620,value in absolute number,
27/09/21,Total Recovered,32931972,value in absolute number,
27/09/21,Total Deaths,447194,value in absolute number,
26/09/21,Total Positive Cases,33652745,value in absolute number,
26/09/21,Number of Active cases,303476,value in absolute number,
26/09/21,Total Recovered,32902351,value in absolute number,
26/09/21,Total Deaths,446918,value in absolute number,
25/09/21,Total Positive Cases,33624419,value in absolute number,
25/09/21,Number of Active cases,301442,value in absolute number,
25/09/21,Total Recovered,32876319,value in absolute number,
25/09/21,Total Deaths,446658,value in absolute number,
24/09/21,Total Positive Cases,33594803,value in absolute number,
24/09/21,Number of Active cases,300162,value in absolute number,
24/09/21,Total Recovered,32848273,value in absolute number,
24/09/21,Total Deaths,446368,value in absolute number,
23/09/21,Total Positive Cases,33563421,value in absolute number,
23/09/21,Number of Active cases,301640,value in absolute number,
23/09/21,Total Recovered,32815731,value in absolute number,
23/09/21,Total Deaths,446050,value in absolute number,
22/09/21,Total Positive Cases,33531498,value in absolute number,
22/09/21,Number of Active cases,301989,value in absolute number,
22/09/21,Total Recovered,32783741,value in absolute number,
22/09/21,Total Deaths,445768,value in absolute number,
21/09/21,Total Positive Cases,33504534,value in absolute number,
21/09/21,Number of Active cases,309575,value in absolute number,
21/09/21,Total Recovered,32749574,value in absolute number,
21/09/21,Total Deaths,445385,value in absolute number,
20/09/21,Total Positive Cases,33478419,value in absolute number,
20/09/21,Number of Active cases,318181,value in absolute number,
20/09/21,Total Recovered,32715105,value in absolute number,
20/09/21,Total Deaths,445133,value in absolute number,
19/09/21,Total Positive Cases,33448163,value in absolute number,
19/09/21,Number of Active cases,332158,value in absolute number,
19/09/21,Total Recovered,32671167,value in absolute number,
19/09/21,Total Deaths,444838,value in absolute number,
18/09/21,Total Positive Cases,33417390,value in absolute number,
18/09/21,Number of Active cases,340639,value in absolute number,
18/09/21,Total Recovered,32632222,value in absolute number,
18/09/21,Total Deaths,444529,value in absolute number,
17/09/21,Total Positive Cases,33381728,value in absolute number,
17/09/21,Number of Active cases,339056,value in absolute number,
17/09/21,Total Recovered,32598424,value in absolute number,
17/09/21,Total Deaths,444248,value in absolute number,
16/09/21,Total Positive Cases,33347325,value in absolute number,
16/09/21,Number of Active cases,342923,value in absolute number,
16/09/21,Total Recovered,32560474,value in absolute number,
16/09/21,Total Deaths,443928,value in absolute number,
15/09/21,Total Positive Cases,33316755,value in absolute number,
15/09/21,Number of Active cases,351087,value in absolute number,
15/09/21,Total Recovered,32522171,value in absolute number,
15/09/21,Total Deaths,443497,value in absolute number,
14/09/21,Total Positive Cases,33289579,value in absolute number,
14/09/21,Number of Active cases,362207,value in absolute number,
14/09/21,Total Recovered,32484159,value in absolute number,
14/09/21,Total Deaths,443213,value in absolute number,
13/09/21,Total Positive Cases,33264175,value in absolute number,
13/09/21,Number of Active cases,374269,value in absolute number,
13/09/21,Total Recovered,32447032,value in absolute number,
13/09/21,Total Deaths,442874,value in absolute number,
12/09/21,Total Positive Cases,33236921,value in absolute number,
12/09/21,Number of Active cases,384921,value in absolute number,
12/09/21,Total Recovered,32409345,value in absolute number,
12/09/21,Total Deaths,442655,value in absolute number,
11/09/21,Total Positive Cases,33208330,value in absolute number,
11/09/21,Number of Active cases,391516,value in absolute number,
11/09/21,Total Recovered,32374497,value in absolute number,
11/09/21,Total Deaths,442317,value in absolute number,
10/09/21,Total Positive Cases,33174954,value in absolute number,
10/09/21,Number of Active cases,390646,value in absolute number,
10/09/21,Total Recovered,32342299,value in absolute number,
10/09/21,Total Deaths,442009,value in absolute number,
09/09/21,Total Positive Cases,33139981,value in absolute number,
09/09/21,Number of Active cases,393614,value in absolute number,
09/09/21,Total Recovered,32304618,value in absolute number,
09/09/21,Total Deaths,441749,value in absolute number,
08/09/21,Total Positive Cases,33096718,value in absolute number,
08/09/21,Number of Active cases,391256,value in absolute number,
08/09/21,Total Recovered,32264051,value in absolute number,
08/09/21,Total Deaths,441411,value in absolute number,
07/09/21,Total Positive Cases,33058843,value in absolute number,
07/09/21,Number of Active cases,392864,value in absolute number,
07/09/21,Total Recovered,32224937,value in absolute number,
07/09/21,Total Deaths,441042,value in absolute number,
06/09/21,Total Positive Cases,33027621,value in absolute number,
06/09/21,Number of Active cases,404874,value in absolute number,
06/09/21,Total Recovered,32181995,value in absolute number,
06/09/21,Total Deaths,440752,value in absolute number,
05/09/21,Total Positive Cases,32988673,value in absolute number,
05/09/21,Number of Active cases,410048,value in absolute number,
05/09/21,Total Recovered,32138092,value in absolute number,
05/09/21,Total Deaths,440533,value in absolute number,
04/09/21,Total Positive Cases,32945907,value in absolute number,
04/09/21,Number of Active cases,405681,value in absolute number,
04/09/21,Total Recovered,32100001,value in absolute number,
04/09/21,Total Deaths,440225,value in absolute number,
03/09/21,Total Positive Cases,32903289,value in absolute number,
03/09/21,Number of Active cases,399778,value in absolute number,
03/09/21,Total Recovered,32063616,value in absolute number,
03/09/21,Total Deaths,439895,value in absolute number,
02/09/21,Total Positive Cases,32857937,value in absolute number,
02/09/21,Number of Active cases,389583,value in absolute number,
02/09/21,Total Recovered,32028825,value in absolute number,
02/09/21,Total Deaths,439529,value in absolute number,
01/09/21,Total Positive Cases,32810845,value in absolute number,
01/09/21,Number of Active cases,378181,value in absolute number,
01/09/21,Total Recovered,31993644,value in absolute number,
01/09/21,Total Deaths,439020,value in absolute number,
31/08/21,Total Positive Cases,32768880,value in absolute number,
31/08/21,Number of Active cases,370640,value in absolute number,
31/08/21,Total Recovered,31959680,value in absolute number,
31/08/21,Total Deaths,438560,value in absolute number,
30/08/21,Total Positive Cases,32737939,value in absolute number,
30/08/21,Number of Active cases,376324,value in absolute number,
30/08/21,Total Recovered,31923405,value in absolute number,
30/08/21,Total Deaths,438210,value in absolute number,
29/08/21,Total Positive Cases,32695030,value in absolute number,
29/08/21,Number of Active cases,368558,value in absolute number,
29/08/21,Total Recovered,31888642,value in absolute number,
29/08/21,Total Deaths,437830,value in absolute number,
28/08/21,Total Positive Cases,32649947,value in absolute number,
28/08/21,Number of Active cases,359775,value in absolute number,
28/08/21,Total Recovered,31852802,value in absolute number,
28/08/21,Total Deaths,437370,value in absolute number,
27/08/21,Total Positive Cases,32603188,value in absolute number,
27/08/21,Number of Active cases,344899,value in absolute number,
27/08/21,Total Recovered,31821428,value in absolute number,
27/08/21,Total Deaths,436861,value in absolute number,
26/08/21,Total Positive Cases,32558530,value in absolute number,
26/08/21,Number of Active cases,333725,value in absolute number,
26/08/21,Total Recovered,31788440,value in absolute number,
26/08/21,Total Deaths,436365,value in absolute number,
25/08/21,Total Positive Cases,32512366,value in absolute number,
25/08/21,Number of Active cases,322327,value in absolute number,
25/08/21,Total Recovered,31754281,value in absolute number,
25/08/21,Total Deaths,435758,value in absolute number,
24/08/21,Total Positive Cases,32474773,value in absolute number,
24/08/21,Number of Active cases,319551,value in absolute number,
24/08/21,Total Recovered,31720112,value in absolute number,
24/08/21,Total Deaths,435110,value in absolute number,
23/08/21,Total Positive Cases,32449306,value in absolute number,
23/08/21,Number of Active cases,333924,value in absolute number,
23/08/21,Total Recovered,31680626,value in absolute number,
23/08/21,Total Deaths,434756,value in absolute number,
22/08/21,Total Positive Cases,32424234,value in absolute number,
22/08/21,Number of Active cases,353398,value in absolute number,
22/08/21,Total Recovered,31636469,value in absolute number,
22/08/21,Total Deaths,434367,value in absolute number,
21/08/21,Total Positive Cases,32393286,value in absolute number,
21/08/21,Number of Active cases,361340,value in absolute number,
21/08/21,Total Recovered,31597982,value in absolute number,
21/08/21,Total Deaths,433964,value in absolute number,
20/08/21,Total Positive Cases,32358829,value in absolute number,
20/08/21,Number of Active cases,363605,value in absolute number,
20/08/21,Total Recovered,31561635,value in absolute number,
20/08/21,Total Deaths,433589,value in absolute number,
19/08/21,Total Positive Cases,32322258,value in absolute number,
19/08/21,Number of Active cases,364129,value in absolute number,
19/08/21,Total Recovered,31525080,value in absolute number,
19/08/21,Total Deaths,433049,value in absolute number,
18/08/21,Total Positive Cases,32285857,value in absolute number,
18/08/21,Number of Active cases,367415,value in absolute number,
18/08/21,Total Recovered,31485923,value in absolute number,
18/08/21,Total Deaths,432519,value in absolute number,
17/08/21,Total Positive Cases,32250679,value in absolute number,
17/08/21,Number of Active cases,369846,value in absolute number,
17/08/21,Total Recovered,31448754,value in absolute number,
17/08/21,Total Deaths,432079,value in absolute number,
16/08/21,Total Positive Cases,32225513,value in absolute number,
16/08/21,Number of Active cases,381947,value in absolute number,
16/08/21,Total Recovered,31411924,value in absolute number,
16/08/21,Total Deaths,431642,value in absolute number,
15/08/21,Total Positive Cases,32192576,value in absolute number,
15/08/21,Number of Active cases,385336,value in absolute number,
15/08/21,Total Recovered,31376015,value in absolute number,
15/08/21,Total Deaths,431225,value in absolute number,
14/08/21,Total Positive Cases,32156493,value in absolute number,
14/08/21,Number of Active cases,387673,value in absolute number,
14/08/21,Total Recovered,31338088,value in absolute number,
14/08/21,Total Deaths,430732,value in absolute number,
13/08/21,Total Positive Cases,32117826,value in absolute number,
13/08/21,Number of Active cases,385227,value in absolute number,
13/08/21,Total Recovered,31302345,value in absolute number,
13/08/21,Total Deaths,430254,value in absolute number,
12/08/21,Total Positive Cases,32077706,value in absolute number,
12/08/21,Number of Active cases,387987,value in absolute number,
12/08/21,Total Recovered,31260050,value in absolute number,
12/08/21,Total Deaths,429669,value in absolute number,
11/08/21,Total Positive Cases,32036511,value in absolute number,
11/08/21,Number of Active cases,386351,value in absolute number,
11/08/21,Total Recovered,31220981,value in absolute number,
11/08/21,Total Deaths,429179,value in absolute number,
10/08/21,Total Positive Cases,31998158,value in absolute number,
10/08/21,Number of Active cases,388508,value in absolute number,
10/08/21,Total Recovered,31180968,value in absolute number,
10/08/21,Total Deaths,428682,value in absolute number,
09/08/21,Total Positive Cases,31969954,value in absolute number,
09/08/21,Number of Active cases,402188,value in absolute number,
09/08/21,Total Recovered,31139457,value in absolute number,
09/08/21,Total Deaths,428309,value in absolute number,
08/08/21,Total Positive Cases,31934455,value in absolute number,
08/08/21,Number of Active cases,406822,value in absolute number,
08/08/21,Total Recovered,31099771,value in absolute number,
08/08/21,Total Deaths,427862,value in absolute number,
07/08/21,Total Positive Cases,31895385,value in absolute number,
07/08/21,Number of Active cases,412153,value in absolute number,
07/08/21,Total Recovered,31055861,value in absolute number,
07/08/21,Total Deaths,427371,value in absolute number,
06/08/21,Total Positive Cases,31856757,value in absolute number,
06/08/21,Number of Active cases,414159,value in absolute number,
06/08/21,Total Recovered,31015844,value in absolute number,
06/08/21,Total Deaths,426754,value in absolute number,
05/08/21,Total Positive Cases,31812114,value in absolute number,
05/08/21,Number of Active cases,411076,value in absolute number,
05/08/21,Total Recovered,30974748,value in absolute number,
05/08/21,Total Deaths,426290,value in absolute number,
04/08/21,Total Positive Cases,31769132,value in absolute number,
04/08/21,Number of Active cases,410353,value in absolute number,
04/08/21,Total Recovered,30933022,value in absolute number,
04/08/21,Total Deaths,425757,value in absolute number,
03/08/21,Total Positive Cases,31726507,value in absolute number,
03/08/21,Number of Active cases,404958,value in absolute number,
03/08/21,Total Recovered,30896354,value in absolute number,
03/08/21,Total Deaths,425195,value in absolute number,
02/08/21,Total Positive Cases,31695958,value in absolute number,
02/08/21,Number of Active cases,413718,value in absolute number,
02/08/21,Total Recovered,30857467,value in absolute number,
02/08/21,Total Deaths,424773,value in absolute number,
01/08/21,Total Positive Cases,31655824,value in absolute number,
01/08/21,Number of Active cases,410952,value in absolute number,
01/08/21,Total Recovered,30820521,value in absolute number,
01/08/21,Total Deaths,424351,value in absolute number,
31/07/21,Total Positive Cases,31613993,value in absolute number,
31/07/21,Number of Active cases,408920,value in absolute number,
31/07/21,Total Recovered,30781263,value in absolute number,
31/07/21,Total Deaths,423810,value in absolute number,
30/07/21,Total Positive Cases,31572344,value in absolute number,
30/07/21,Number of Active cases,405155,value in absolute number,
30/07/21,Total Recovered,30743972,value in absolute number,
30/07/21,Total Deaths,423217,value in absolute number,
29/07/21,Total Positive Cases,31528114,value in absolute number,
29/07/21,Number of Active cases,403840,value in absolute number,
29/07/21,Total Recovered,30701612,value in absolute number,
29/07/21,Total Deaths,422662,value in absolute number,
28/07/21,Total Positive Cases,31484605,value in absolute number,
28/07/21,Number of Active cases,399436,value in absolute number,
28/07/21,Total Recovered,30663147,value in absolute number,
28/07/21,Total Deaths,422022,value in absolute number,
27/07/21,Total Positive Cases,31440951,value in absolute number,
27/07/21,Number of Active cases,398100,value in absolute number,
27/07/21,Total Recovered,30621469,value in absolute number,
27/07/21,Total Deaths,421382,value in absolute number,
26/07/21,Total Positive Cases,31411262,value in absolute number,
26/07/21,Number of Active cases,411189,value in absolute number,
26/07/21,Total Recovered,30579106,value in absolute number,
26/07/21,Total Deaths,420967,value in absolute number,
25/07/21,Total Positive Cases,31371901,value in absolute number,
25/07/21,Number of Active cases,408212,value in absolute number,
25/07/21,Total Recovered,30543138,value in absolute number,
25/07/21,Total Deaths,420551,value in absolute number,
24/07/21,Total Positive Cases,31332159,value in absolute number,
24/07/21,Number of Active cases,408977,value in absolute number,
24/07/21,Total Recovered,30503166,value in absolute number,
24/07/21,Total Deaths,420016,value in absolute number,
23/07/21,Total Positive Cases,31293062,value in absolute number,
23/07/21,Number of Active cases,405513,value in absolute number,
23/07/21,Total Recovered,30468079,value in absolute number,
23/07/21,Total Deaths,419470,value in absolute number,
22/07/21,Total Positive Cases,31257720,value in absolute number,
22/07/21,Number of Active cases,409394,value in absolute number,
22/07/21,Total Recovered,30429339,value in absolute number,
22/07/21,Total Deaths,418987,value in absolute number,
21/07/21,Total Positive Cases,31216337,value in absolute number,
21/07/21,Number of Active cases,407170,value in absolute number,
21/07/21,Total Recovered,30390687,value in absolute number,
21/07/21,Total Deaths,418480,value in absolute number,
20/07/21,Total Positive Cases,31174322,value in absolute number,
20/07/21,Number of Active cases,406130,value in absolute number,
20/07/21,Total Recovered,30353710,value in absolute number,
20/07/21,Total Deaths,414482,value in absolute number,
19/07/21,Total Positive Cases,31144229,value in absolute number,
19/07/21,Number of Active cases,421665,value in absolute number,
19/07/21,Total Recovered,30308456,value in absolute number,
19/07/21,Total Deaths,414108,value in absolute number,
18/07/21,Total Positive Cases,31106065,value in absolute number,
18/07/21,Number of Active cases,422660,value in absolute number,
18/07/21,Total Recovered,30269796,value in absolute number,
18/07/21,Total Deaths,413609,value in absolute number,
17/07/21,Total Positive Cases,31064908,value in absolute number,
17/07/21,Number of Active cases,424025,value in absolute number,
17/07/21,Total Recovered,30227792,value in absolute number,
17/07/21,Total Deaths,413091,value in absolute number,
16/07/21,Total Positive Cases,31026829,value in absolute number,
16/07/21,Number of Active cases,430422,value in absolute number,
16/07/21,Total Recovered,30183876,value in absolute number,
16/07/21,Total Deaths,412531,value in absolute number,
15/07/21,Total Positive Cases,30987880,value in absolute number,
15/07/21,Number of Active cases,432041,value in absolute number,
15/07/21,Total Recovered,30143850,value in absolute number,
15/07/21,Total Deaths,411989,value in absolute number,
14/07/21,Total Positive Cases,30946074,value in absolute number,
