date,category,value,units,notes
30/09/23,Total Deaths,532031,value in absolute number,
29/09/23,Total Positive Cases,44998741,value in absolute number,
29/09/23,Number of Active cases,466,value in absolute number,
29/09/23,Total Recovered,44466244,value in absolute number,
29/09/23,Total Deaths,532031,value in absolute number,
28/09/23,Total Positive Cases,44998701,value in absolute number,
28/09/23,Number of Active cases,476,value in absolute number,
28/09/23,Total Recovered,44466194,value in absolute number,
28/09/23,Total Deaths,532031,value in absolute number,
27/09/23,Total Positive Cases,44998650,value in absolute number,
27/09/23,Number of Active cases,466,value in absolute number,
27/09/23,Total Recovered,44466153,value in absolute number,
27/09/23,Total Deaths,532031,value in absolute number,
26/09/23,Total Positive Cases,44998603,value in absolute number,
26/09/23,Number of Active cases,463,value in absolute number,
26/09/23,Total Recovered,44466109,value in absolute number,
26/09/23,Total Deaths,532031,value in absolute number,
25/09/23,Total Positive Cases,44998565,value in absolute number,
25/09/23,Number of Active cases,456,value in absolute number,
25/09/23,Total Recovered,44466078,value in absolute number,
25/09/23,Total Deaths,532031,value in absolute number,
24/09/23,Total Positive Cases,44998525,value in absolute number,
24/09/23,Number of Active cases,469,value in absolute number,
24/09/23,Total Recovered,44466025,value in absolute number,
24/09/23,Total Deaths,532031,value in absolute number,
23/09/23,Total Positive Cases,44998463,value in absolute number,
23/09/23,Number of Active cases,466,value in absolute number,
23/09/23,Total Recovered,44465966,value in absolute number,
23/09/23,Total Deaths,532031,value in absolute number,
22/09/23,Total Positive Cases,44998412,value in absolute number,
22/09/23,Number of Active cases,480,value in absolute number,
22/09/23,Total Recovered,44465901,value in absolute number,
22/09/23,Total Deaths,532031,value in absolute number,
21/09/23,Total Positive Cases,44998347,value in absolute number,
21/09/23,Number of Active cases,480,value in absolute number,
21/09/23,Total Recovered,44465836,value in absolute number,
21/09/23,Total Deaths,532031,value in absolute number,
20/09/23,Total Positive Cases,44998294,value in absolute number,
20/09/23,Number of Active cases,480,value in absolute number,
20/09/23,Total Recovered,44465783,value in absolute number,
20/09/23,Total Deaths,532031,value in absolute number,
19/09/23,Total Positive Cases,44998243,value in absolute number,
19/09/23,Number of Active cases,520,value in absolute number,
19/09/23,Total Recovered,44465693,value in absolute number,
19/09/23,Total Deaths,532030,value in absolute number,
18/09/23,Total Positive Cases,44998217,value in absolute number,
18/09/23,Number of Active cases,544,value in absolute number,
18/09/23,Total Recovered,44465643,value in absolute number,
18/09/23,Total Deaths,532030,value in absolute number,
17/09/23,Total Positive Cases,44998162,value in absolute number,
17/09/23,Number of Active cases,549,value in absolute number,
17/09/23,Total Recovered,44465583,value in absolute number,
17/09/23,Total Deaths,532030,value in absolute number,
16/09/23,Total Positive Cases,44998107,value in absolute number,
16/09/23,Number of Active cases,554,value in absolute number,
16/09/23,Total Recovered,44465524,value in absolute number,
16/09/23,Total Deaths,532029,value in absolute number,
15/09/23,Total Positive Cases,44998035,value in absolute number,
15/09/23,Number of Active cases,541,value in absolute number,
15/09/23,Total Recovered,44465465,value in absolute number,
15/09/23,Total Deaths,532029,value in absolute number,
14/09/23,Total Positive Cases,44997975,value in absolute number,
14/09/23,Number of Active cases,531,value in absolute number,
