year,month,country,category,value_rupee,value_usd,currency,unit,note
2023,September,Vietnam,Export,351359.98,422.99,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Vietnam,Import,629761.47,758.21,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,September,Vietnam,Trade Balance,-278401.49,-335.22,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Australia,Export,1020979.13,1233.17,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Australia,Import,1511782.34,1826.11,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Australia,Trade Balance,-490803.21,-592.94,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Bangladesh,Export,780612.55,942.79,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Bangladesh,Import,139114.5,168.05,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Bangladesh,Trade Balance,641498.05,774.74,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Belgium,Export,674480.34,814.61,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Belgium,Import,554965.36,670.3,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Belgium,Trade Balance,119514.98,144.31,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Brazil,Export,459359.82,554.78,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Brazil,Import,371797.15,449.1,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,Brazil,Trade Balance,87562.67,105.68,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,China,Export,1070979.82,1293.56,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,China,Import,7738597.77,9347.54,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,China,Trade Balance,-6667617.95,-8053.98,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,France,Export,790813.77,955.14,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
2023,August,France,Import,368375.91,444.88,"value_rupee in INR, value_usd in USD","value_rupee in Lakh, value_usd in Million",
