fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2021-22,2022,January,19,01st January to 10th January 2022,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,Ten Lakh Bond,110,110000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Rajasthan,Jaipur,No Elections,Sold/ Purchased,Ten Lakh Bond,8,8000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,189,189000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Uttar Pradesh,Lucknow,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,2,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,43,43000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,35,35000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Goa,Panaji,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,69,69000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,Ten Lakh Bond,30,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Chandigarh,Chandigarh,No Elections,Redeemed/ Encashed,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,119,119000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Uttar Pradesh,Lucknow,Assembly Elections,Redeemed/ Encashed,Ten Lakh Bond,2,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,Ten Lakh Bond,1,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,370,370000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Goa,Panaji,Assembly Elections,Redeemed/ Encashed,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Thousand Bond,10,100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2022,January,19,01st January to 10th January 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Thousand Bond,10,100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,30,300000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,56,560000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,16,160000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,112,1120000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,15,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,21,210000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,16,160000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,192,1920000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,20,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,11,11000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,December,24,5th December to 12th December 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,21,21000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,01st April to 10th April 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,54,54000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,10th April to 10th April 2022,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,18,180000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,11th April to 10th April 2022,Goa,Panaji,No Elections,Sold/ Purchased,Ten Lakh Bond,5,5000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,12th April to 10th April 2022,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,43,430000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,13th April to 10th April 2022,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,40,400000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,14th April to 10th April 2022,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,100,1000000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,15th April to 10th April 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Thousand Bond,37,370000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,16th April to 10th April 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Lakh Bond,25,25000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,17th April to 10th April 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,423,4230000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,18th April to 10th April 2022,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Lakh Bond,45,4500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,19th April to 10th April 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,49,49000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,20th April to 10th April 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,34,340000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,21st April to 10th April 2022,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,2nd April to 10th April 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,101,1010000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,3rd April to 10th April 2022,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,4th April to 10th April 2022,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,3,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,5th April to 10th April 2022,Tamil Nadu,Chennai,No Elections,Redeemed/ Encashed,One Crore Bond,100,1000000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,6th April to 10th April 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Thousand Bond,37,370000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,7th April to 10th April 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,25,25000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,8th April to 10th April 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,418,4180000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2022-23,2022,April,20,9th April to 10th April 2022,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Lakh Bond,45,4500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Odisha,Bhubaneshwar,No Elections,Sold/ Purchased,One Crore Bond,31,310000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,195,1950000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,139,1390000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,183,1830000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,30,300000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,15,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,125,1250000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Tamil Nadu,Chennai,No Elections,Redeemed/ Encashed,One Crore Bond,100,1000000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,152,1520000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,125,1250000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,91,910000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,195,19500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,6,600000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,40,4000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Lakh Bond,94,9400000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,147,14700000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Thousand Bond,5,5000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Thousand Bond,5,5000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Telangana,Hyderabad,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,157,157000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,1,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,21,21000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,150,150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,29,29000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Thousand Bond,27,270000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Thousand Bond,2,20000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,October,18,01st October to 10th October 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Thousand Bond,29,290000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Goa,Panaji,No Elections,Sold/ Purchased,One Crore Bond,3,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,1,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Tamil Nadu,Chennai,No Elections,Sold/ Purchased,One Crore Bond,30,300000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,10,100000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Crore Bond,80,800000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Crore Bond,90,900000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,36,360000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2021-22,2021,July,17,01st July to 10th July 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,15,1500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Lakh Bond,60,6000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,One Lakh Bond,65,6500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,25,2500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Chandigarh,Chandigarh,No Elections,Sold/ Purchased,Ten Lakh Bond,2,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",state: Data for Chandigarh is for the states of Punjab & Haryana
2021-22,2021,July,17,01st July to 10th July 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,7,7000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,60,60000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,167,167000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Lakh Bond,169,169000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,67,67000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Thousand Bond,13,130000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,July,17,01st July to 10th July 2021,West Bengal,Kolkata,No Elections,Redeemed/ Encashed,Ten Thousand Bond,13,130000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Rajasthan,Jaipur,No Elections,Sold/ Purchased,One Crore Bond,4,40000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,1,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,2,20000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,7,70000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,West Bengal,Kolkata,Assembly Elections,Sold/ Purchased,One Crore Bond,29,290000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,West Bengal,Kolkata,Assembly Elections,Redeemed/ Encashed,One Crore Bond,25,250000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Kerala,Thiruvananthapuram,No Elections,Sold/ Purchased,One Lakh Bond,9,900000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,21,2100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,West Bengal,Kolkata,Assembly Elections,Sold/ Purchased,One Lakh Bond,15,1500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Rajasthan,Jaipur,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,2,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,Ten Lakh Bond,42,42000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Lakh Bond,26,26000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,West Bengal,Kolkata,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,66,66000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,West Bengal,Kolkata,Assembly Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Kerala,Thiruvananthapuram,No Elections,Sold/ Purchased,Ten Thousand Bond,10,100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2020-21,2021,January,15,01st January to 10th January 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,Ten Thousand Bond,10,100000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Assam,Guwahati,Assembly Elections,Sold/ Purchased,One Crore Bond,1,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Tamil Nadu,Chennai,Assembly Elections,Sold/ Purchased,One Crore Bond,140,1400000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Tamil Nadu,Chennai,Assembly Elections,Redeemed/ Encashed,One Crore Bond,105,1050000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Crore Bond,14,140000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Telangana,Hyderabad,No Elections,Sold/ Purchased,One Crore Bond,91,910000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Rajasthan,Jaipur,No Elections,Sold/ Purchased,One Crore Bond,5,50000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Crore Bond,90,900000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Crore Bond,165,1650000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Goa,Panaji,No Elections,Sold/ Purchased,One Crore Bond,3,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,West Bengal,Kolkata,Assembly Elections,Sold/ Purchased,One Crore Bond,162,1620000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Odisha,Bhubaneshwar,No Elections,Redeemed/ Encashed,One Crore Bond,115,1150000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Telangana,Hyderabad,No Elections,Redeemed/ Encashed,One Crore Bond,63,630000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,West Bengal,Kolkata,Assembly Elections,Redeemed/ Encashed,One Crore Bond,47,470000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Maharashtra,Mumbai,No Elections,Redeemed/ Encashed,One Crore Bond,3,30000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Crore Bond,338,3380000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Assam,Guwahati,Assembly Elections,Sold/ Purchased,One Lakh Bond,5,500000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Delhi,New Delhi,No Elections,Sold/ Purchased,One Lakh Bond,10,1000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,West Bengal,Kolkata,Assembly Elections,Sold/ Purchased,One Lakh Bond,49,4900000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Delhi,New Delhi,No Elections,Redeemed/ Encashed,One Lakh Bond,20,2000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,West Bengal,Kolkata,Assembly Elections,Redeemed/ Encashed,One Lakh Bond,44,4400000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Tamil Nadu,Chennai,Assembly Elections,Sold/ Purchased,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Maharashtra,Mumbai,No Elections,Sold/ Purchased,One Thousand Bond,1,1000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Assam,Guwahati,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,31,31000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Tamil Nadu,Chennai,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,15,15000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Tamil Nadu,Chennai,Assembly Elections,Redeemed/ Encashed,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2021-22,2021,April,16,01st April to 20th April 2021,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
