fiscal_year,year,month,phase,sale_period,state,city,election,transaction_type,bond_type,total_bonds,value_of_bonds,units,note
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,One Thousand Bond,44,44000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,One Thousand Bond,8,8000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,One Thousand Bond,2,2000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Karnataka,Bengaluru,No Elections,Sold/ Purchased,Ten Lakh Bond,39,39000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Madhya Pradesh,Bhopal,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,10,10000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Tamil Nadu,Chennai  ,No Elections,Sold/ Purchased,Ten Lakh Bond,15,15000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,Ten Lakh Bond,17,17000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Telangana,Hyderabad,Assembly Elections,Sold/ Purchased,Ten Lakh Bond,15,15000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Lakh Bond,295,295000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Maharashtra,Mumbai,No Elections,Sold/ Purchased,Ten Lakh Bond,88,88000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Delhi,New Delhi,No Elections,Sold/ Purchased,Ten Lakh Bond,24,24000000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,Gujarat,Gandhinagar,No Elections,Sold/ Purchased,Ten Thousand Bond,27,270000,"total_bonds in absolute number, value_of_bonds in indian rupees",
2023-24,2023,October,28,4th Ocotber to 13th October 2023,West Bengal,Kolkata,No Elections,Sold/ Purchased,Ten Thousand Bond,28,280000,"total_bonds in absolute number, value_of_bonds in indian rupees",
